r,H2O,HDO,D2O
9.00,-0.013,0.003,0.032
9.05,-0.009,0.003,0.031
9.10,-0.008,0.004,0.028
9.15,-0.007,0.002,0.025
9.20,-0.005,0.002,0.023
9.25,-0.004,0.002,0.021
9.30,-0.004,0.003,0.019
9.35,-0.002,0.002,0.017
9.40,0.000,0.003,0.015
9.45,0.004,0.003,0.013
9.50,0.005,0.004,0.010
9.55,0.005,0.003,0.008
9.60,0.006,0.002,0.005
9.65,0.007,0.002,0.004
9.70,0.008,0.001,0.001
9.75,0.006,-0.001,-0.002
9.80,0.006,-0.002,-0.004
9.85,0.007,-0.002,-0.006
9.90,0.008,0.000,-0.008
9.95,0.009,-0.001,-0.010
10.00,0.010,-0.002,-0.013
10.05,0.009,-0.003,-0.015
10.10,0.010,-0.004,-0.018
10.15,0.012,-0.004,-0.018
10.20,0.011,-0.003,-0.020
10.25,0.010,-0.005,-0.023
10.30,0.011,-0.007,-0.025
10.35,0.011,-0.005,-0.027
10.40,0.012,-0.006,-0.028
10.45,0.015,-0.005,-0.029
10.50,0.016,-0.005,-0.031
10.55,0.016,-0.006,-0.032
10.60,0.016,-0.007,-0.034
10.65,0.014,-0.008,-0.035
10.70,0.012,-0.007,-0.035
10.75,0.016,-0.007,-0.036
10.80,0.015,-0.006,-0.036
10.85,0.015,-0.008,-0.038
10.90,0.017,-0.007,-0.038
10.95,0.017,-0.007,-0.038
11.00,0.017,-0.006,-0.038
11.05,0.015,-0.006,-0.038
11.10,0.016,-0.007,-0.037
11.15,0.018,-0.006,-0.037
11.20,0.017,-0.006,-0.037
11.25,0.018,-0.007,-0.036
11.30,0.015,-0.008,-0.035
11.35,0.015,-0.006,-0.035
11.40,0.017,-0.005,-0.034
11.45,0.015,-0.007,-0.032
11.50,0.014,-0.006,-0.032
11.55,0.014,-0.008,-0.031
11.60,0.012,-0.007,-0.031
11.65,0.012,-0.007,-0.030
11.70,0.014,-0.008,-0.028
11.75,0.012,-0.006,-0.027
11.80,0.012,-0.005,-0.025
11.85,0.011,-0.004,-0.025
11.90,0.011,-0.005,-0.023
11.95,0.010,-0.007,-0.022
12.00,0.009,-0.004,-0.020
12.05,0.008,-0.005,-0.020
12.10,0.008,-0.005,-0.019
12.15,0.008,-0.006,-0.017
12.20,0.007,-0.004,-0.016
12.25,0.006,-0.003,-0.015
12.30,0.006,-0.004,-0.013
12.35,0.006,-0.001,-0.012
12.40,0.007,-0.001,-0.011
12.45,0.005,-0.004,-0.008
12.50,0.006,-0.004,-0.007
12.55,0.003,-0.002,-0.006
12.60,0.003,-0.002,-0.005
12.65,0.002,-0.004,-0.004
12.70,0.001,-0.005,-0.003
12.75,-0.001,-0.004,-0.001
12.80,0.000,-0.004,0.001
12.85,0.001,-0.003,0.002
12.90,0.000,-0.001,0.003
12.95,-0.001,-0.001,0.005
13.00,0.000,-0.001,0.006
13.05,0.000,0.000,0.008
13.10,0.001,0.000,0.008
13.15,-0.003,-0.001,0.009
13.20,-0.004,0.002,0.010
13.25,-0.003,0.000,0.012
13.30,-0.004,0.001,0.013
13.35,-0.003,0.003,0.014
13.40,-0.004,0.002,0.015
13.45,-0.004,0.005,0.015
13.50,-0.002,0.005,0.017
13.55,-0.006,0.004,0.018
13.60,-0.006,0.003,0.018
13.65,-0.008,0.003,0.018
13.70,-0.007,0.005,0.020
13.75,-0.007,0.006,0.020
13.80,-0.009,0.004,0.020
13.85,-0.011,0.003,0.020
13.90,-0.009,0.004,0.021
13.95,-0.008,0.004,0.022
14.00,-0.010,0.004,0.023
14.05,-0.011,0.004,0.022
14.10,-0.012,0.005,0.022
14.15,-0.010,0.003,0.021
14.20,-0.009,0.004,0.021
14.25,-0.013,0.005,0.022
14.30,-0.010,0.006,0.021
14.35,-0.011,0.004,0.021
14.40,-0.010,0.005,0.021
14.45,-0.012,0.005,0.020
14.50,-0.010,0.004,0.020
14.55,-0.011,0.005,0.019
14.60,-0.010,0.004,0.019
14.65,-0.013,0.003,0.018
14.70,-0.012,0.005,0.018
14.75,-0.013,0.003,0.017
14.80,-0.015,0.004,0.015
14.85,-0.013,0.002,0.016
14.90,-0.014,0.002,0.014
14.95,-0.011,0.003,0.014
15.00,-0.011,0.003,0.014
15.05,-0.012,0.002,0.012
15.10,-0.012,0.002,0.012
15.15,-0.013,0.002,0.011
15.20,-0.014,0.003,0.011
15.25,-0.011,0.000,0.010
15.30,-0.010,-0.001,0.010
15.35,-0.011,0.000,0.009
15.40,-0.012,0.002,0.007
15.45,-0.008,0.002,0.008
15.50,-0.005,0.002,0.007
15.55,-0.004,0.002,0.007
15.60,-0.006,0.003,0.005
15.65,-0.005,0.002,0.004
15.70,-0.004,0.001,0.004
15.75,-0.003,0.002,0.004
15.80,-0.003,0.002,0.003
15.85,0.000,0.004,0.003
15.90,0.000,0.002,0.002
15.95,0.001,0.002,0.001
16.00,0.001,0.001,0.001
16.05,0.000,0.002,0.000
16.10,0.005,0.002,-0.001
16.15,0.003,0.003,-0.001
16.20,0.005,0.003,-0.002
16.25,0.005,0.003,-0.001
16.30,0.003,0.002,-0.002
16.35,0.004,0.001,-0.002
16.40,0.003,0.001,-0.003
16.45,0.006,0.003,-0.004
16.50,0.005,0.001,-0.005
16.55,0.007,0.000,-0.006
16.60,0.007,0.000,-0.005
16.65,0.007,0.002,-0.006
16.70,0.007,0.002,-0.007
16.75,0.007,0.000,-0.008
16.80,0.008,0.001,-0.008
16.85,0.009,-0.001,-0.009
16.90,0.009,0.001,-0.008
16.95,0.007,-0.001,-0.007
17.00,0.006,-0.001,-0.009
17.05,0.008,-0.001,-0.010
17.10,0.009,0.000,-0.010
17.15,0.008,-0.001,-0.011
17.20,0.010,-0.003,-0.011
17.25,0.011,-0.002,-0.011
17.30,0.010,-0.001,-0.011
17.35,0.007,-0.002,-0.011
17.40,0.008,-0.003,-0.012
17.45,0.009,-0.001,-0.012
17.50,0.008,-0.004,-0.012
17.55,0.009,-0.003,-0.012
17.60,0.009,-0.004,-0.013
17.65,0.007,-0.004,-0.012
17.70,0.007,-0.005,-0.013
17.75,0.007,-0.004,-0.013
17.80,0.006,-0.003,-0.013
17.85,0.006,-0.002,-0.014
17.90,0.011,-0.003,-0.012
17.95,0.005,-0.004,-0.012
18.00,0.005,-0.004,-0.012
18.05,0.005,-0.004,-0.012
18.10,0.003,-0.006,-0.012
18.15,0.004,-0.006,-0.010
18.20,0.007,-0.004,-0.010
18.25,0.007,-0.005,-0.010
18.30,0.007,-0.003,-0.010
18.35,0.005,-0.003,-0.010
18.40,0.002,-0.003,-0.010
18.45,0.003,-0.002,-0.010
18.50,0.003,-0.002,-0.008
18.55,0.003,-0.004,-0.009
18.60,0.004,-0.001,-0.008
18.65,0.002,-0.002,-0.008
18.70,0.001,-0.004,-0.008
18.75,0.000,-0.002,-0.007
18.80,0.000,-0.004,-0.007
18.85,0.001,-0.003,-0.007
18.90,-0.001,-0.005,-0.006
18.95,-0.002,-0.003,-0.006
19.00,-0.001,-0.004,-0.005
19.05,-0.002,-0.003,-0.005
19.10,-0.002,-0.004,-0.004
19.15,-0.003,-0.002,-0.003
19.20,-0.005,-0.003,-0.002
19.25,-0.002,-0.002,-0.003
19.30,-0.003,-0.003,-0.001
19.35,-0.002,-0.003,-0.002
19.40,0.000,-0.001,-0.001
19.45,0.000,0.002,0.000
19.50,-0.003,0.001,0.000
19.55,-0.002,-0.002,0.001
19.60,0.000,-0.002,0.002
19.65,-0.004,-0.001,0.002
19.70,-0.002,0.001,0.002
19.75,-0.004,0.000,0.004
19.80,-0.002,0.001,0.004
19.85,-0.005,0.001,0.004
19.90,-0.004,0.002,0.004
19.95,-0.002,0.001,0.005
20.00,-0.003,0.000,0.006
20.05,-0.001,0.001,0.005
20.10,-0.001,0.001,0.006
20.15,-0.001,0.000,0.006
20.20,-0.002,0.001,0.006
20.25,-0.002,0.002,0.007
20.30,-0.005,0.003,0.008
20.35,-0.003,0.004,0.008
20.40,-0.005,0.004,0.009
20.45,-0.003,0.000,0.009
20.50,-0.002,0.001,0.009
20.55,-0.001,0.002,0.010
20.60,-0.001,0.005,0.010
20.65,-0.001,0.007,0.010
20.70,-0.002,0.005,0.010
20.75,-0.004,0.003,0.010
20.80,-0.002,0.002,0.011
20.85,-0.003,0.003,0.011
20.90,-0.004,0.005,0.010
20.95,-0.003,0.004,0.009
21.00,-0.001,0.003,0.008
21.05,0.000,0.003,0.009
21.10,-0.004,0.004,0.009
21.15,-0.004,0.006,0.010
21.20,-0.004,0.005,0.009
21.25,-0.002,0.006,0.010
21.30,-0.002,0.004,0.009
21.35,-0.003,0.002,0.009
21.40,-0.005,0.004,0.008
21.45,-0.001,0.003,0.010
21.50,-0.002,0.003,0.009
21.55,-0.004,0.001,0.008
21.60,-0.003,0.001,0.008
21.65,-0.003,0.001,0.007
21.70,-0.002,0.001,0.007
21.75,-0.002,0.002,0.006
21.80,-0.002,0.000,0.005
21.85,-0.001,0.002,0.006
21.90,-0.002,0.001,0.005
21.95,-0.003,-0.002,0.005
22.00,-0.001,0.000,0.005
22.05,-0.002,0.001,0.004
22.10,-0.003,0.000,0.003
22.15,-0.001,0.002,0.003
22.20,0.002,0.002,0.003
22.25,0.000,0.000,0.002
22.30,0.001,0.000,0.002
22.35,0.004,0.001,0.002
22.40,0.001,0.000,0.002
22.45,-0.002,-0.001,0.001
22.50,-0.003,0.001,0.000
22.55,-0.002,0.000,0.000
22.60,0.001,-0.001,-0.001
22.65,0.002,-0.001,-0.002
22.70,0.001,0.000,-0.001
22.75,-0.002,-0.002,-0.002
22.80,-0.005,-0.003,-0.002
22.85,0.000,-0.002,-0.002
22.90,-0.002,-0.002,-0.003
22.95,0.001,-0.001,-0.003
23.00,-0.002,-0.004,-0.004
23.05,-0.003,-0.003,-0.003
23.10,0.000,0.000,-0.003
23.15,0.000,-0.002,-0.004
23.20,0.002,-0.002,-0.005
23.25,0.000,0.000,-0.004
23.30,-0.003,-0.002,-0.004
23.35,-0.001,-0.002,-0.005
23.40,0.001,-0.001,-0.005
23.45,0.001,-0.001,-0.005
23.50,-0.003,0.000,-0.006
23.55,-0.003,-0.002,-0.005
23.60,0.001,-0.001,-0.006
23.65,0.002,0.000,-0.005
23.70,-0.002,-0.003,-0.007
