POISSON BOLTZMANN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
29,-8.2002,-95.0558,-39.1885,64.0074,-58.0578,-103.256,-33.238899999999994,-136.4949
30,-11.3478,-89.0725,-39.2349,64.6311,-57.8472,-100.4203,-32.451,-132.87130000000002
31,-9.6497,-87.7826,-39.4915,65.9399,-58.332,-97.4323,-31.88360000000001,-129.3159
32,-11.2812,-89.0795,-39.9566,63.894,-56.9474,-100.3607,-33.010000000000005,-133.3707
33,-10.1753,-87.9035,-40.9956,65.3587,-58.3385,-98.0788,-33.97540000000001,-132.0542
34,-9.6983,-88.842,-41.4143,65.2359,-58.9217,-98.5403,-35.1001,-133.6404
35,-10.0221,-95.6716,-38.5169,64.4515,-57.6885,-105.69369999999999,-31.7539,-137.4476
36,-10.9991,-89.6825,-39.0924,65.3257,-57.5612,-100.6816,-31.3279,-132.0095
37,-10.7217,-90.7799,-40.2233,64.4563,-58.268,-101.5016,-34.035000000000004,-135.5366
38,-6.8827,-87.1441,-40.3041,65.3446,-57.6986,-94.0268,-32.6581,-126.68489999999998
39,-7.8693,-90.221,-42.1802,64.9996,-58.5049,-98.0903,-35.6855,-133.7758
40,-7.555,-91.8446,-39.9489,64.7492,-58.3088,-99.39959999999999,-33.5085,-132.9081
41,-11.5857,-90.1088,-41.2191,65.2737,-58.4574,-101.6945,-34.40279999999999,-136.0973
42,-9.5625,-90.6055,-39.5176,65.269,-58.8324,-100.168,-33.080999999999996,-133.24900000000002
43,-9.7812,-85.8465,-42.2373,65.3398,-57.0554,-95.6277,-33.9529,-129.5806
44,-8.8319,-85.0366,-41.5836,63.5065,-56.7206,-93.86850000000001,-34.79769999999999,-128.6662
45,-7.5209,-91.1194,-38.769,64.5886,-57.1791,-98.6403,-31.359499999999997,-129.9998
46,-11.7208,-89.2824,-37.743,64.924,-57.7499,-101.00319999999999,-30.568899999999992,-131.57209999999998
47,-8.6635,-88.8967,-38.2355,63.6294,-56.8353,-97.5602,-31.4414,-129.0016
48,-11.2479,-90.6064,-38.5031,64.5744,-57.7864,-101.8543,-31.715100000000007,-133.56939999999997
49,-10.7255,-88.0364,-39.5061,65.5808,-58.3229,-98.7619,-32.248200000000004,-131.0101
50,-8.9982,-88.6526,-43.5862,64.2578,-57.8961,-97.6508,-37.22449999999999,-134.87529999999998
51,-7.1288,-87.4819,-41.7871,64.2058,-57.5153,-94.6107,-35.09660000000001,-129.7073
52,-10.7314,-86.487,-40.6176,64.4657,-57.5195,-97.2184,-33.671400000000006,-130.8898
53,-9.8438,-84.4162,-42.745,65.1508,-57.5792,-94.26,-35.173399999999994,-129.4334
54,-8.1792,-83.5388,-41.0578,64.8106,-57.6995,-91.71799999999999,-33.94670000000001,-125.66470000000001
55,-7.7239,-86.5006,-43.4199,63.8987,-58.2282,-94.2245,-37.7494,-131.97390000000001
56,-7.7263,-89.5978,-40.0925,63.4357,-56.7544,-97.3241,-33.4112,-130.73530000000002
57,-8.4642,-85.2021,-41.138,64.0405,-57.6891,-93.6663,-34.78660000000001,-128.45290000000003
58,-11.122,-86.0501,-41.8322,64.9051,-57.4044,-97.1721,-34.3315,-131.5036
59,-8.5154,-85.1656,-40.8379,63.894,-56.2932,-93.681,-33.2371,-126.9181
60,-9.9115,-90.8848,-40.7326,63.0671,-56.2919,-100.7963,-33.95739999999999,-134.75369999999998
61,-12.0639,-93.7381,-40.188,63.2703,-55.7589,-105.802,-32.6766,-138.47860000000003
62,-10.1888,-91.641,-38.9455,63.5538,-56.0433,-101.8298,-31.435000000000002,-133.26480000000004
63,-12.0983,-87.1392,-41.7513,64.2247,-56.4653,-99.2375,-33.9919,-133.2294
64,-11.5933,-85.5081,-41.6759,63.1049,-55.6436,-97.1014,-34.2146,-131.316
65,-11.0409,-92.0012,-40.7922,64.2011,-56.846,-103.0421,-33.4371,-136.47920000000002
66,-12.7418,-86.0533,-39.8619,63.8892,-55.5954,-98.79509999999999,-31.568099999999994,-130.36319999999998
67,-12.9992,-86.6346,-40.7232,63.2419,-55.6579,-99.63380000000001,-33.139199999999995,-132.773
68,-12.6359,-88.3044,-40.8005,63.8609,-56.5283,-100.94030000000001,-33.4679,-134.40820000000002
69,-9.9947,-93.6559,-36.2109,62.7505,-55.6071,-103.6506,-29.067500000000003,-132.7181
70,-6.7053,-88.4264,-37.1375,63.7995,-57.0533,-95.1317,-30.3913,-125.52300000000002
71,-10.0787,-90.3045,-37.7345,63.6624,-57.1473,-100.3832,-31.2194,-131.60260000000002
72,-13.439,-87.4157,-38.6343,63.8089,-55.8541,-100.85470000000001,-30.679500000000004,-131.5342
73,-12.7246,-86.4802,-40.6571,63.3506,-56.3984,-99.20479999999999,-33.7049,-132.9097
74,-10.2175,-90.3611,-39.2818,63.4026,-56.0269,-100.5786,-31.906099999999995,-132.48469999999998
75,-10.854,-85.4276,-40.3242,64.5744,-56.9202,-96.2816,-32.67,-128.95159999999998
76,-9.7635,-90.4171,-38.234,63.5632,-56.1482,-100.1806,-30.819000000000003,-130.99960000000002
77,-10.5467,-93.4869,-39.7337,63.9601,-56.5779,-104.0336,-32.3515,-136.38510000000002
78,-7.5776,-88.729,-37.559,63.0576,-57.0232,-96.3066,-31.5246,-127.8312
79,-9.8242,-90.2255,-38.9897,63.9034,-57.0202,-100.0497,-32.106500000000004,-132.1562
80,-10.467,-87.1395,-40.2432,65.0941,-56.8686,-97.6065,-32.017700000000005,-129.62419999999997
81,-10.2497,-89.2911,-38.0788,63.7286,-56.3254,-99.5408,-30.675600000000003,-130.2164
82,-10.0371,-88.9294,-39.7021,63.5443,-56.3941,-98.9665,-32.5519,-131.5184
83,-12.8866,-91.2405,-37.3293,65.1981,-57.371,-104.1271,-29.50220000000001,-133.6293
84,-9.186,-91.1044,-38.3899,64.2342,-58.419,-100.2904,-32.57469999999999,-132.86509999999998
85,-10.225,-89.1895,-38.8458,64.5224,-57.7345,-99.41449999999999,-32.05789999999999,-131.47239999999996
86,-10.205,-88.9301,-37.7699,63.7948,-56.5256,-99.1351,-30.500699999999995,-129.6358
87,-10.443,-84.5938,-41.1719,64.0216,-56.6453,-95.0368,-33.79559999999999,-128.83239999999998
88,-6.7488,-85.3817,-39.3796,64.7398,-57.7487,-92.1305,-32.3885,-124.51899999999999
89,-9.6482,-91.6604,-39.2665,64.2578,-57.2316,-101.3086,-32.2403,-133.5489
90,-10.2059,-84.1708,-38.7054,64.3003,-57.6255,-94.3767,-32.03060000000001,-126.4073
91,-10.309,-85.0343,-41.2268,64.5177,-57.3831,-95.3433,-34.09219999999999,-129.4355
92,-9.1569,-88.6525,-40.7325,64.272,-57.7135,-97.80940000000001,-34.174,-131.9834
93,-10.4382,-90.4499,-38.199,64.0594,-56.8812,-100.8881,-31.0208,-131.9089
94,-10.1297,-90.4806,-39.2663,63.9743,-56.8592,-100.6103,-32.1512,-132.7615
95,-10.0605,-87.2382,-40.1052,64.6736,-57.6732,-97.29870000000001,-33.10480000000001,-130.40350000000004
96,-9.4867,-87.3825,-38.5297,64.0027,-56.4665,-96.86919999999999,-30.993499999999997,-127.86269999999999
97,-12.9057,-82.2319,-41.4746,62.1315,-55.5807,-95.13759999999999,-34.9238,-130.0614
98,-11.6805,-86.4808,-40.8568,64.0877,-56.6149,-98.1613,-33.384,-131.5453
99,-12.6865,-90.6676,-37.5014,63.9365,-56.6741,-103.35409999999999,-30.238999999999997,-133.5931

DELTA Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,DELTA G gas,DELTA G solv,DELTA TOTAL
0,-73.15159999999993,-50.854400000000425,138.92740000000006,-50.19149999999995,85.73310000000001,-124.00599999999854,174.46900000000014,50.463000000001614
1,-70.99449999999987,-41.79020000000118,122.24699999999996,-49.624500000000026,86.21009999999991,-112.78469999999992,158.83259999999984,46.04790000000108
2,-62.60430000000006,-49.31940000000003,112.6279000000002,-48.041500000000156,83.47460000000001,-111.92370000000099,148.0610000000003,36.13729999999612
3,-68.1450999999999,-45.42800000000064,127.09749999999994,-47.32340000000012,85.43749999999993,-113.57310000000145,165.21159999999986,51.63849999999613
4,-65.60170000000008,-42.93429999999947,119.16540000000003,-47.08240000000005,84.58439999999999,-108.53600000000091,156.66739999999987,48.13139999999805
5,-66.35810000000002,-39.68120000000019,119.17509999999996,-48.674800000000026,83.0883,-106.0392999999993,153.58860000000016,47.54930000000223
6,-67.67379999999997,-46.30260000000064,120.44479999999999,-45.43809999999997,83.02839999999998,-113.97640000000061,158.0351000000001,44.058699999998595
7,-69.67070000000008,-59.096100000000035,130.57200000000006,-46.600399999999986,84.57160000000002,-128.76680000000147,168.54320000000007,39.7763999999961
8,-67.23920000000004,-51.164500000000615,115.16839999999988,-47.909300000000016,83.63360000000003,-118.40369999999952,150.89269999999976,32.48900000000205
9,-61.37679999999997,-57.52270000000054,114.53749999999991,-47.838400000000014,81.92259999999996,-118.89950000000073,148.62169999999986,29.722200000000043
10,-71.18610000000005,-47.39539999999967,128.69480000000007,-49.40240000000008,85.89030000000005,-118.58150000000018,165.18269999999993,46.601200000002706
11,-68.18920000000018,-50.02850000000075,113.15819999999994,-47.5596,86.12760000000006,-118.2177000000023,151.72620000000012,33.508499999999856
12,-63.96049999999997,-48.40499999999997,115.49989999999988,-47.89990000000002,85.535,-112.36549999999926,153.135,40.76950000000528
13,-70.50339999999997,-39.21800000000022,112.74539999999996,-47.72970000000012,85.91249999999997,-109.72140000000019,150.9281999999997,41.206800000001095
14,-63.63270000000003,-42.09950000000015,99.50989999999986,-47.98490000000004,83.09780000000003,-105.73220000000086,134.62279999999984,28.89059999999742
15,-70.1245999999998,-45.194600000000406,109.08929999999995,-50.045000000000144,84.84289999999996,-115.31920000000021,143.88719999999978,28.56800000000186
16,-70.48900000000022,-43.897399999998555,108.47859999999994,-49.57720000000008,85.85839999999999,-114.38639999999809,144.75979999999984,30.373400000005148
17,-67.70309999999986,-42.05520000000004,111.49480000000003,-49.72850000000006,86.05180000000001,-109.7582999999999,147.8181,38.0597999999994
18,-71.50499999999988,-39.721800000000215,113.48019999999988,-48.62750000000014,86.80360000000002,-111.22679999999987,151.65629999999976,40.429499999998086
19,-76.46950000000008,-42.01730000000083,109.83380000000022,-50.389900000000154,87.71000000000004,-118.48680000000046,147.15390000000008,28.667099999999635
20,-69.79950000000005,-33.954800000001015,102.09859999999983,-49.114199999999805,85.48839999999993,-103.75430000000107,138.47279999999995,34.71850000000205
21,-73.0079000000001,-37.684699999998855,106.87569999999995,-50.29069999999998,87.25520000000003,-110.6926000000001,143.8402,33.147599999998306
22,-68.5955,-41.09840000000003,118.4792,-47.74389999999987,86.27110000000002,-109.69390000000094,157.00640000000004,47.312499999997726
23,-64.88339999999988,-41.41100000000084,99.74680000000001,-47.27139999999993,82.90660000000005,-106.29439999999958,135.38200000000012,29.087600000002823
24,-62.20939999999988,-40.1619,108.47230000000005,-45.532600000000016,84.59760000000006,-102.37130000000056,147.5373,45.16600000000125
25,-69.94879999999995,-49.34189999999998,116.34139999999994,-47.914,84.56039999999992,-119.29070000000107,152.98779999999974,33.6970999999989
26,-65.85740000000001,-52.61470000000028,107.12500000000014,-46.397300000000016,83.36689999999997,-118.47209999999893,144.0946000000002,25.62249999999969
27,-66.13030000000006,-44.018599999999935,109.6366,-47.73449999999988,82.82459999999995,-110.14889999999932,144.72670000000005,34.57779999999758
28,-67.55210000000014,-41.37759999999915,92.07310000000005,-46.9927,83.79200000000003,-108.92969999999974,128.87239999999986,19.94270000000148
29,-68.29020000000014,-43.67809999999926,111.0762,-47.361200000000096,85.21880000000006,-111.96829999999986,148.93379999999996,36.9655000000042
30,-67.79759999999987,-40.57289999999942,113.86530000000002,-47.290399999999806,84.95509999999997,-108.37049999999886,151.53000000000017,43.15949999999907
31,-63.17430000000007,-48.921100000000024,111.99179999999993,-48.00379999999987,82.37490000000003,-112.09540000000055,146.36289999999997,34.267500000000325
32,-66.22379999999988,-51.25710000000055,103.52890000000005,-47.469900000000045,84.12880000000006,-117.48089999999975,140.18780000000015,22.706900000001554
33,-63.4973000000001,-47.2231999999989,102.57459999999995,-49.062200000000075,83.73820000000006,-110.72049999999876,137.25059999999982,26.530100000001283
34,-69.00569999999995,-51.979899999999006,120.76759999999999,-49.388299999999944,85.8157,-120.98560000000055,157.19500000000005,36.209399999999505
35,-63.71630000000018,-56.74559999999987,108.14129999999992,-47.55959999999992,84.18870000000007,-120.46190000000006,144.77039999999994,24.30849999999967
36,-66.63630000000012,-54.64449999999931,119.60040000000004,-50.65929999999993,86.52239999999996,-121.28080000000034,155.46350000000007,34.18270000000109
37,-63.84790000000004,-50.301199999999426,119.49869999999999,-46.09020000000004,83.62459999999996,-114.14909999999833,157.03310000000002,42.884000000002374
38,-66.51400000000001,-63.69350000000075,128.83300000000003,-49.567799999999906,85.91590000000002,-130.2075000000001,165.18110000000013,34.97360000000096
39,-67.5365,-60.377600000001166,119.58319999999979,-47.67309999999988,83.75050000000007,-127.91410000000162,155.6606000000001,27.746499999998036
40,-61.78720000000005,-42.431200000001255,104.45040000000009,-46.51070000000007,83.54259999999996,-104.21840000000222,141.48229999999998,37.263899999997534
41,-66.99429999999992,-53.3279000000002,108.91370000000003,-48.301500000000075,84.84490000000005,-120.32220000000012,145.45710000000022,25.134899999999647
42,-66.79690000000005,-52.23279999999943,123.72539999999991,-50.21990000000005,84.97199999999998,-119.0296999999988,158.47749999999982,39.447799999998324
43,-52.228399999999866,-48.317200000000966,83.12789999999995,-42.990600000000114,75.85439999999997,-100.54560000000038,115.99169999999981,15.44609999999625
44,-60.65810000000001,-57.19690000000027,95.42270000000013,-45.85390000000011,77.63009999999997,-117.85500000000005,127.19890000000001,9.34390000000019
45,-52.393900000000016,-57.09909999999904,93.80160000000001,-44.067899999999966,75.4092,-109.49299999999951,125.14290000000003,15.649899999998922
46,-57.035099999999886,-48.48289999999912,86.21239999999995,-45.04600000000008,77.14999999999995,-105.51799999999923,118.3163999999997,12.798399999998423
47,-49.30980000000011,-56.97930000000021,98.47340000000008,-41.610899999999866,74.46549999999993,-106.28909999999986,131.32800000000026,25.038900000003594
48,-57.82790000000007,-52.94069999999978,90.63189999999996,-45.11679999999981,78.57449999999999,-110.76859999999849,124.0895999999999,13.32100000000321
49,-54.30649999999993,-62.30719999999833,103.63410000000016,-43.88359999999993,77.21030000000007,-116.6136999999994,136.9608000000003,20.34709999999953
50,-60.62609999999995,-60.75000000000125,110.88570000000007,-45.85399999999996,79.14569999999998,-121.37610000000075,144.17739999999998,22.801299999999458
51,-58.4650000000001,-63.45500000000061,106.14149999999995,-45.929500000000004,76.27690000000004,-121.92000000000117,136.4889,14.568899999996546
52,-52.13900000000002,-67.59719999999933,107.30910000000014,-44.351300000000066,77.23849999999993,-119.73619999999912,140.19630000000012,20.460099999999414
53,-51.76689999999995,-67.75700000000109,120.56579999999997,-45.801900000000046,75.17510000000003,-119.52390000000035,149.93899999999994,30.41510000000028
54,-55.41419999999997,-60.81660000000038,102.89440000000009,-43.20789999999985,75.83649999999994,-116.23080000000013,135.5230000000002,19.2921999999987
55,-46.29169999999995,-62.484400000000576,102.25789999999996,-43.42530000000014,74.23170000000003,-108.77609999999939,133.06429999999986,24.2881999999982
56,-51.53109999999996,-62.252899999999045,111.48479999999998,-44.11040000000003,75.57170000000005,-113.78399999999947,142.9460999999999,29.162100000001118
57,-56.27310000000001,-65.00559999999902,124.61409999999987,-45.59880000000014,76.29969999999997,-121.2786999999997,155.3149999999997,34.03629999999956
58,-51.604700000000165,-57.94579999999989,92.92840000000018,-41.795100000000105,72.07759999999996,-109.55049999999915,123.21090000000004,13.660400000004302
59,-55.259000000000015,-55.18399999999956,99.70890000000009,-42.182600000000086,72.8634,-110.4429999999998,130.3896999999999,19.946700000001456
60,-58.60849999999998,-44.433700000001224,104.72529999999978,-43.222099999999976,76.00940000000008,-103.04220000000166,137.5125999999998,34.4703999999972
61,-60.12179999999999,-49.85439999999883,108.06650000000003,-44.05840000000021,75.7019000000001,-109.97619999999883,139.71000000000004,29.733799999999633
62,-53.49570000000007,-50.6730000000003,86.6214000000002,-41.228099999999905,71.6443,-104.16869999999969,117.03760000000017,12.868900000000508
63,-56.90839999999991,-50.25020000000002,108.7205,-42.29600000000006,73.18819999999998,-107.15859999999994,139.6126999999999,32.454099999998846
64,-54.77299999999991,-46.83410000000096,107.3983000000001,-42.89609999999989,75.10640000000001,-101.60710000000064,139.60860000000022,38.00149999999596
65,-52.52639999999993,-54.55139999999908,101.83700000000013,-44.219100000000026,74.91379999999992,-107.07779999999968,132.5316999999999,25.453900000002506
66,-53.026300000000006,-49.38310000000051,86.48940000000005,-42.86769999999994,72.79550000000002,-102.40940000000165,116.41720000000035,14.007799999999605
67,-48.91309999999996,-58.21410000000046,111.54389999999975,-43.1464000000001,72.14920000000002,-107.12720000000041,140.54669999999956,33.41950000000256
68,-54.85189999999988,-49.61440000000128,89.65389999999996,-42.834699999999984,74.09700000000004,-104.46630000000206,120.91620000000002,16.449900000001605
69,-51.16439999999985,-38.51069999999865,78.51870000000005,-41.421799999999976,72.35690000000005,-89.67509999999942,109.45380000000011,19.778700000000697
70,-53.1706,-46.142200000000514,77.50490000000009,-42.13539999999981,75.46900000000002,-99.31279999999961,110.8385000000003,11.525700000000938
71,-56.851699999999965,-44.81609999999837,81.06969999999998,-42.70229999999999,76.21770000000006,-101.66779999999765,114.5851000000003,12.917299999999017
72,-47.25969999999992,-49.64819999999919,76.43769999999978,-40.37289999999985,71.8428,-96.90790000000001,107.90760000000004,10.999699999998427
73,-48.30090000000019,-61.216599999999715,97.10530000000004,-40.92110000000004,71.56259999999995,-109.51749999999946,127.74679999999995,18.229300000002524
74,-51.15150000000014,-44.77989999999963,79.01360000000003,-40.103599999999794,70.08949999999997,-95.93140000000022,108.9995000000002,13.068100000003142
75,-43.091799999999964,-54.19219999999858,96.38539999999986,-39.07829999999993,68.6842,-97.28399999999809,125.99129999999984,28.707300000005148
76,-53.92290000000005,-50.37749999999926,104.92469999999989,-41.59199999999982,73.34500000000006,-104.30039999999795,136.67770000000002,32.37729999999729
77,-51.27090000000008,-48.220699999999724,93.83609999999999,-42.20619999999984,71.3814000000001,-99.49160000000003,123.01130000000036,23.519699999997613
78,-49.22660000000003,-42.18420000000087,88.0011000000002,-39.668800000000054,73.90210000000005,-91.41079999999954,122.23440000000008,30.823600000002813
79,-50.167600000000014,-52.94889999999988,103.84650000000025,-41.35089999999999,73.07250000000006,-103.11649999999966,135.56810000000033,32.451599999999075
80,-46.43330000000002,-57.66069999999968,94.89350000000024,-41.393499999999875,70.00960000000008,-104.09399999999901,123.50960000000045,19.41560000000186
81,-52.72089999999987,-50.28990000000013,99.92679999999996,-42.72120000000004,73.3694000000001,-103.01080000000069,130.57500000000002,27.564200000003183
82,-48.13189999999987,-58.49050000000078,105.39689999999999,-40.67060000000013,71.85929999999999,-106.62240000000065,136.58559999999972,29.963200000001137
83,-39.543399999999835,-61.7663999999985,94.75329999999998,-40.18389999999992,72.21719999999996,-101.30979999999879,126.78660000000002,25.476800000003493
84,-52.63219999999993,-51.596300000001236,82.38299999999991,-39.32399999999997,70.04390000000002,-104.22850000000093,113.10289999999996,8.874400000001515
85,-43.05259999999989,-63.82660000000074,88.22109999999992,-39.43729999999999,70.11179999999999,-106.879200000002,118.8955999999998,12.016399999998015
86,-50.8258,-56.8160000000003,105.5338999999999,-42.881899999999966,73.06469999999996,-107.64179999999894,135.7166999999999,28.074899999999587
87,-43.56950000000005,-60.82449999999936,91.28940000000028,-38.22780000000009,68.5239,-104.39399999999827,121.58550000000021,17.19150000000147
88,-49.204700000000074,-47.85559999999887,110.10640000000038,-43.04729999999989,75.5372,-97.06030000000031,142.59630000000035,45.53599999999982
89,-51.67889999999997,-56.150500000000406,108.3526,-43.81740000000005,75.2633,-107.82940000000083,139.79849999999993,31.969099999996843
90,-49.99539999999995,-57.49910000000078,106.31339999999994,-43.36379999999997,75.65030000000003,-107.49450000000141,138.5999000000001,31.1053999999978
91,-50.482899999999944,-67.14280000000079,96.12900000000022,-42.598399999999984,72.97009999999999,-117.62570000000096,126.5007,8.87499999999676
92,-53.89460000000003,-49.496800000000945,93.36889999999987,-42.56060000000009,76.45639999999997,-103.39140000000233,127.26469999999975,23.873299999994657
93,-55.70060000000017,-45.20479999999914,88.87759999999996,-44.61129999999993,75.41119999999998,-100.90539999999977,119.67750000000001,18.772099999999767
94,-54.114299999999915,-57.75490000000069,92.64980000000014,-43.8647,77.27210000000004,-111.86919999999947,126.05720000000018,14.18800000000141
95,-56.29579999999992,-56.32149999999979,99.17900000000012,-42.30549999999985,76.61070000000001,-112.61729999999925,133.48420000000027,20.866900000000584
96,-51.27439999999994,-51.935000000001025,88.17140000000012,-42.16840000000002,72.21699999999998,-103.20940000000074,118.22000000000021,15.010599999999926
97,-47.51660000000018,-49.81569999999988,82.44649999999979,-39.90979999999995,71.6414,-97.33230000000006,114.17809999999983,16.84580000000045
98,-47.805299999999924,-48.13300000000099,83.87250000000014,-41.804599999999894,72.57260000000005,-95.93829999999956,114.64050000000019,18.702200000005405
99,-53.65300000000004,-50.541300000001456,75.70739999999967,-42.4189000000001,74.1656000000001,-104.1943000000015,107.4540999999999,3.259799999997938


