POISSON BOLTZMANN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
55,-1476.4178,-13771.9675,-2036.4199,1615.0075,-951.1816,-15248.3853,-1372.594,-16620.9793
56,-1487.4182,-13860.3314,-1980.9582,1595.7721,-932.2464,-15347.7496,-1317.4325000000001,-16665.182099999998
57,-1499.7029,-13879.8542,-1952.3185,1610.7031,-943.049,-15379.5571,-1284.6644000000001,-16664.2215
58,-1481.0487,-13873.4194,-2027.521,1608.5674,-936.7679,-15354.4681,-1355.7215,-16710.189599999998
59,-1458.2641,-13689.6084,-2151.9694,1596.7974,-932.5385,-15147.8725,-1487.7105000000001,-16635.583
60,-1494.1679,-13874.3878,-2001.7491,1594.4916,-921.2085,-15368.5557,-1328.466,-16697.0217
61,-1476.5017,-13911.8388,-1961.2227,1595.9044,-920.3829,-15388.3405,-1285.7012,-16674.0417
62,-1516.2927,-13815.5862,-2053.8914,1591.7842,-923.7525,-15331.8789,-1385.8597,-16717.7386
63,-1501.7626,-13776.411,-2060.2977,1605.652,-937.0732,-15278.1736,-1391.7189,-16669.8925
64,-1507.6649,-13820.6398,-2109.4337,1589.691,-924.7764,-15328.3047,-1444.5191,-16772.823800000002
65,-1464.9537,-13685.3565,-2154.9508,1602.0185,-937.9763,-15150.3102,-1490.9086000000002,-16641.2188
66,-1502.0738,-13673.659,-2152.4337,1609.3706,-940.0756,-15175.7328,-1483.1387,-16658.871499999997
67,-1481.3762,-13733.7453,-2086.4358,1603.7101,-934.0944,-15215.121500000001,-1416.8201000000001,-16631.9416
68,-1484.2057,-13690.6504,-2103.0876,1614.9319,-943.9164,-15174.8561,-1432.0720999999999,-16606.9282
69,-1481.4624,-13752.5973,-2060.5043,1609.7628,-944.6006,-15234.0597,-1395.3421,-16629.4018
70,-1471.3884,-13855.4553,-2002.6997,1613.1128,-942.9455,-15326.8437,-1332.5323999999998,-16659.376099999998
71,-1453.7276,-13812.3975,-1988.195,1618.2725,-946.9182,-15266.1251,-1316.8406999999997,-16582.9658
72,-1479.8894,-13893.7505,-2014.2552,1611.3504,-950.6911,-15373.6399,-1353.5959,-16727.235800000002
73,-1467.053,-13906.186,-1975.2865,1607.8444,-947.94,-15373.239,-1315.3821,-16688.6211
74,-1472.2335,-13887.5278,-1959.8478,1610.5802,-947.9161,-15359.7613,-1297.1837,-16656.945
75,-1481.9512,-13854.1076,-1981.2263,1603.4974,-931.4688,-15336.058799999999,-1309.1977000000002,-16645.256499999996
76,-1460.9998,-13997.2588,-1875.9528,1599.467,-928.2089,-15458.2586,-1204.6947,-16662.9533
77,-1496.0327,-13849.7982,-1961.4876,1608.0712,-946.6619,-15345.830899999999,-1300.0782999999997,-16645.9092
78,-1491.3136,-13740.9415,-2053.5451,1602.165,-931.5391,-15232.2551,-1382.9191999999998,-16615.1743
79,-1466.1477,-13844.0155,-2018.5491,1611.1189,-940.5654,-15310.163199999999,-1347.9956,-16658.1588
80,-1465.2725,-13794.0009,-2087.9487,1609.862,-947.8702,-15259.273399999998,-1425.9568999999997,-16685.2303
81,-1460.09,-13845.8596,-2030.5708,1615.1493,-951.6687,-15305.9496,-1367.0901999999999,-16673.0398
82,-1481.0646,-13799.2751,-2035.7114,1609.7675,-931.6349,-15280.3397,-1357.5788,-16637.9185
83,-1491.6388,-13888.1719,-1983.0685,1611.1992,-941.4659,-15379.8107,-1313.3352,-16693.1459
84,-1454.0816,-13911.6187,-2014.9882,1621.0272,-954.2257,-15365.7003,-1348.1867,-16713.887
85,-1437.3155,-13921.027,-1993.2589,1606.9089,-942.3626,-15358.3425,-1328.7126000000003,-16687.055099999998
86,-1473.6495,-13863.0646,-2030.9318,1617.1858,-950.9719,-15336.7141,-1364.7179,-16701.432
87,-1437.1904,-13789.1332,-2073.1054,1613.3869,-953.1711,-15226.3236,-1412.8896,-16639.213200000002
88,-1482.7826,-13704.2655,-2087.8259,1622.5534,-945.9582,-15187.0481,-1411.2306999999998,-16598.2788
89,-1468.8271,-13769.5364,-2036.1396,1606.0348,-934.6596,-15238.363500000001,-1364.7644,-16603.127900000003
90,-1492.5345,-13861.2211,-1985.4878,1607.5893,-936.0711,-15353.7556,-1313.9696,-16667.7252
91,-1471.8165,-13778.9974,-2009.2863,1609.8431,-936.571,-15250.813900000001,-1336.0142,-16586.828100000002
92,-1464.6609,-13803.3742,-2054.8934,1609.4982,-938.3818,-15268.035100000001,-1383.777,-16651.812100000003
93,-1473.9815,-13823.928,-2031.2054,1601.3759,-930.1939,-15297.9095,-1360.0234,-16657.9329
94,-1475.2882,-13870.2432,-1974.3573,1608.3264,-934.1205,-15345.5314,-1300.1514,-16645.6828
95,-1472.4049,-13812.3308,-2018.4065,1615.6076,-942.026,-15284.7357,-1344.8249,-16629.5606
96,-1480.4839,-13876.1614,-1974.2348,1613.0278,-949.9831,-15356.6453,-1311.1900999999998,-16667.8354
97,-1466.4363,-13884.3523,-2021.5559,1611.0244,-946.8458,-15350.7886,-1357.3773,-16708.1659
98,-1455.1359,-13882.1146,-1990.5854,1622.9692,-952.0738,-15337.2505,-1319.69,-16656.940499999997
99,-1458.1062,-13793.1141,-2048.3672,1616.9306,-956.9762,-15251.2203,-1388.4128,-16639.633100000003

Receptor Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-1475.4438,-13703.9777,-1973.6267,1555.052,-918.144,-15179.4215,-1336.7187000000001,-16516.1402
