GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
20,-1431.7912,-13796.0433,-2204.7843,74.578104,-15227.834499999999,-2130.2061959999996,-17358.040696
21,-1447.7881,-13700.663,-2263.4605,75.27363912,-15148.4511,-2188.18686088,-17336.637960879998
22,-1436.6451,-13597.8315,-2389.0765,78.41284488,-15034.4766,-2310.66365512,-17345.14025512
23,-1433.3016,-13639.6902,-2321.7815,74.17105271999999,-15072.9918,-2247.6104472800002,-17320.60224728
24,-1420.1655,-13810.605,-2234.6604,75.72423312,-15230.770499999999,-2158.93616688,-17389.70666688
25,-1442.1935,-13546.7239,-2404.0119,75.088332,-14988.9174,-2328.923568,-17317.840968
26,-1457.7638,-13629.7875,-2321.0007,72.45528624,-15087.551300000001,-2248.54541376,-17336.09671376
27,-1483.3426,-13670.6149,-2293.2018,74.04735672,-15153.9575,-2219.1544432799997,-17373.11194328
28,-1457.1134,-13729.2029,-2310.7618,74.51403696,-15186.3163,-2236.2477630400003,-17422.564063039998
29,-1493.5266,-13748.4876,-2294.2333,72.24696143999999,-15242.0142,-2221.9863385599997,-17464.000538559998
30,-1462.267,-13738.5673,-2277.0674,72.8185176,-15200.8343,-2204.2488823999997,-17405.0831824
31,-1471.7558,-13742.9765,-2257.7359,72.75201624,-15214.7323,-2184.98388376,-17399.71618376
32,-1444.7106,-13818.7549,-2193.3709,70.90864416,-15263.4655,-2122.4622558399997,-17385.92775584
33,-1432.282,-13807.5344,-2168.9081,72.13226184,-15239.8164,-2096.77583816,-17336.59223816
34,-1450.9826,-13794.6352,-2205.7824,73.19975975999999,-15245.6178,-2132.5826402400003,-17378.20044024
35,-1447.9035,-13722.3051,-2276.5203,69.95877408,-15170.2086,-2206.5615259200003,-17376.77012592
36,-1442.399,-13682.66,-2299.5382,71.4561336,-15125.059,-2228.0820664,-17353.1410664
37,-1433.8057,-13701.8623,-2271.0369,74.02653504,-15135.668000000001,-2197.01036496,-17332.67836496
38,-1422.6217,-13674.2879,-2297.3272,73.94281992,-15096.909599999999,-2223.38438008,-17320.293980079998
39,-1439.7382,-13734.1441,-2257.7979,72.28417896,-15173.8823,-2185.51372104,-17359.39602104
40,-1463.6706,-13798.6938,-2221.3432,72.81161496,-15262.364399999999,-2148.5315850399998,-17410.89598504
41,-1439.6513,-13781.4916,-2232.6846,72.65085624,-15221.142899999999,-2160.03374376,-17381.176643759998
42,-1450.3214,-13812.976,-2206.4962,75.4775064,-15263.297400000001,-2131.0186936,-17394.316093600002
43,-1441.2725,-13749.1349,-2288.5201,75.32470584,-15190.4074,-2213.19539416,-17403.60279416
44,-1400.1401,-13861.7681,-2209.813,74.64350376,-15261.9082,-2135.16949624,-17397.07769624
45,-1436.2817,-13840.2934,-2145.9723,73.32966216,-15276.5751,-2072.64263784,-17349.21773784
46,-1422.8193,-13799.8485,-2218.9835,78.01746191999999,-15222.6678,-2140.9660380799996,-17363.633838079997
47,-1423.6488,-13644.4128,-2337.8172,77.15528783999999,-15068.0616,-2260.66191216,-17328.723512160002
48,-1432.0292,-13797.5619,-2259.4002,75.95220672,-15229.591100000001,-2183.44799328,-17413.03909328
49,-1416.9936,-13746.6704,-2295.9867,75.96748224,-15163.664,-2220.0192177599997,-17383.68321776
50,-1421.7191,-13766.5955,-2286.912,74.90684016,-15188.3146,-2212.0051598399996,-17400.319759839997
51,-1406.1544,-13706.4031,-2297.0955,74.90399184,-15112.557499999999,-2222.19150816,-17334.749008159997
52,-1427.4014,-13745.8804,-2292.3428,76.28358672,-15173.2818,-2216.0592132799998,-17389.341013279998
53,-1415.3994,-13681.1127,-2356.7405,77.24084256,-15096.5121,-2279.4996574399997,-17376.01175744
54,-1449.205,-13660.5904,-2336.9567,77.60958407999999,-15109.795399999999,-2259.3471159200003,-17369.142515919997
55,-1422.4022,-13622.9825,-2379.4034,78.5020068,-15045.3847,-2300.9013932000003,-17346.2860932
56,-1428.1608,-13708.4807,-2344.6085,76.40013816,-15136.6415,-2268.2083618399997,-17404.84986184
57,-1434.9656,-13729.6465,-2329.5841,79.01360136,-15164.6121,-2250.57049864,-17415.18259864
58,-1418.322,-13729.4235,-2355.5296,77.82874487999999,-15147.7455,-2277.7008551199997,-17425.44635512
59,-1394.4897,-13549.2588,-2480.2386,75.84916968,-14943.7485,-2404.38943032,-17348.137930319997
60,-1425.6479,-13739.0693,-2354.1889,75.29795712,-15164.7172,-2278.8909428800002,-17443.60814288
61,-1404.316,-13768.2463,-2305.7381,75.32019503999999,-15172.562300000001,-2230.41790496,-17402.98020496
62,-1452.6082,-13673.2722,-2384.1664,73.55508696,-15125.8804,-2310.61131304,-17436.49171304
63,-1432.7559,-13639.0216,-2419.5336,77.64547608,-15071.7775,-2341.88812392,-17413.66562392
64,-1441.2986,-13688.2976,-2449.1638,75.52738008,-15129.5962,-2373.6364199199998,-17503.23261992
65,-1401.3864,-13538.8039,-2502.2123,77.74222823999999,-14940.1903,-2424.4700717600003,-17364.66037176
66,-1436.3057,-13538.2226,-2489.4933,78.84853632000001,-14974.528299999998,-2410.64476368,-17385.17306368
67,-1419.4639,-13588.8966,-2449.1935,77.27705424,-15008.3605,-2371.91644576,-17380.27694576
68,-1416.7179,-13552.7316,-2458.0685,79.31621448,-14969.449499999999,-2378.75228552,-17348.20178552
69,-1420.3033,-13620.4307,-2409.7382,79.08161616,-15040.734,-2330.6565838399997,-17371.39058384
70,-1411.5125,-13720.8867,-2351.6961,78.98460192,-15132.3992,-2272.71149808,-17405.11069808
71,-1386.7972,-13677.2769,-2332.8436,79.34778432,-15064.074100000002,-2253.4958156800003,-17317.56991568
72,-1419.1907,-13756.6866,-2336.3169,79.16758632,-15175.8773,-2257.14931368,-17433.02661368
73,-1406.0275,-13758.4892,-2319.3986,78.12615096,-15164.5167,-2241.27244904,-17405.78914904
74,-1410.8645,-13752.3868,-2301.1402,78.05881511999999,-15163.2513,-2223.08138488,-17386.33268488
75,-1428.0054,-13714.4878,-2340.2131,76.62572639999999,-15142.4932,-2263.5873736,-17406.0805736
76,-1397.3134,-13856.4642,-2233.6416,75.72881448,-15253.777600000001,-2157.91278552,-17411.69038552
77,-1434.2151,-13708.0906,-2325.6379,77.32574136,-15142.305699999999,-2248.3121586400002,-17390.61785864
78,-1434.5094,-13610.0283,-2403.2668,77.04535680000001,-15044.5377,-2326.2214432,-17370.7591432
79,-1406.1559,-13700.8411,-2373.5802,77.82511176,-15106.997,-2295.75508824,-17402.75208824
80,-1408.3722,-13649.2007,-2414.2176,79.05432744,-15057.5729,-2335.1632725599998,-17392.73617256
81,-1397.1194,-13706.2786,-2356.982,79.15797792,-15103.398,-2277.82402208,-17381.222022079997
82,-1422.8956,-13651.8552,-2390.6816,76.99435199999999,-15074.7508,-2313.6872479999997,-17388.438047999996
83,-1439.2088,-13735.165,-2302.6728,77.77029384000001,-15174.373800000001,-2224.90250616,-17399.27630616
84,-1392.2634,-13768.918,-2336.1935,79.71873192,-15161.1814,-2256.4747680799996,-17417.65616808
85,-1384.0379,-13768.0109,-2294.4472,77.49803232,-15152.048799999999,-2216.94916768,-17368.99796768
86,-1412.6187,-13717.3185,-2372.8605,80.0933328,-15129.9372,-2292.7671671999997,-17422.7043672
87,-1383.1779,-13643.7149,-2397.4302,79.45522416,-15026.892800000001,-2317.97497584,-17344.86777584
88,-1426.8291,-13571.0282,-2459.2525,80.60117328,-14997.8573,-2378.6513267200003,-17376.50862672
89,-1407.5,-13621.7255,-2402.2582,78.74385624,-15029.2255,-2323.5143437600004,-17352.739843760002
90,-1432.3332,-13719.5512,-2331.1481,78.06091968,-15151.884399999999,-2253.08718032,-17404.971580319998
91,-1411.0246,-13626.8203,-2352.8805,77.49117576,-15037.8449,-2275.3893242400004,-17313.23422424
92,-1401.6094,-13665.2249,-2375.5546,79.33763592,-15066.834299999999,-2296.21696408,-17363.051264079997
93,-1407.8427,-13688.2733,-2358.8057,77.39698536,-15096.116,-2281.4087146399997,-17377.52471464
94,-1411.0442,-13722.0077,-2309.5846,77.472738,-15133.0519,-2232.111862,-17365.163762
95,-1406.0486,-13668.7711,-2352.0987,79.37108208,-15074.8197,-2272.72761792,-17347.547317919998
96,-1419.7228,-13736.8439,-2299.0742,79.07892336,-15156.5667,-2219.99527664,-17376.561976639998
97,-1406.014,-13752.3047,-2347.0256,78.5790504,-15158.3187,-2268.4465496,-17426.7652496
98,-1395.6501,-13747.5008,-2331.5204,80.20635983999999,-15143.1509,-2251.31404016,-17394.464940160004
99,-1391.7667,-13651.9052,-2357.3801,80.16725088,-15043.6719,-2277.2128491199996,-17320.88474912

Ligand Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-14.1177,-87.7816,-36.9309,5.190040079999999,-101.8993,-31.740859920000002,-133.64015992
1,-10.0404,-83.2495,-37.2084,5.29290936,-93.2899,-31.915490639999998,-125.20539064
2,-11.2451,-83.8272,-37.3994,5.194368,-95.07230000000001,-32.205032,-127.277332
3,-10.2964,-87.7769,-36.7117,5.24643912,-98.0733,-31.465260880000002,-129.53856088
4,-11.4768,-91.2952,-34.7573,5.24515464,-102.77199999999999,-29.51214536,-132.28414535999997
5,-11.1554,-81.1858,-38.5057,5.15890296,-92.3412,-33.34679704,-125.68799704
6,-11.3671,-80.7166,-38.7488,5.13460512,-92.0837,-33.61419488,-125.69789487999998
7,-11.2882,-76.7362,-41.3555,5.14551672,-88.0244,-36.20998328,-124.23438327999999
8,-13.1447,-85.0867,-37.3971,5.0934996,-98.2314,-32.3036004,-130.5350004
9,-10.8063,-75.746,-41.1521,5.34705048,-86.5523,-35.80504952,-122.35734951999999
10,-11.2557,-81.0851,-38.6958,5.33601432,-92.3408,-33.35978568,-125.70058567999999
11,-12.0791,-83.8109,-38.6641,5.21825184,-95.89,-33.44584816,-129.33584816
12,-11.6628,-87.6449,-37.549,5.13438264,-99.30770000000001,-32.41461736,-131.72231736
13,-10.1643,-85.4795,-34.6699,5.13343224,-95.6438,-29.536467759999997,-125.18026775999998
14,-8.3672,-84.5584,-36.0876,5.104406879999999,-92.9256,-30.983193120000003,-123.90879312000001
15,-10.1941,-83.9931,-36.3768,5.26933584,-94.1872,-31.107464160000003,-125.29466416000002
16,-7.5998,-87.1437,-35.389,5.265210239999999,-94.7435,-30.123789760000005,-124.86728975999999
17,-8.4677,-83.345,-39.2155,5.33300832,-91.8127,-33.88249168,-125.69519168
18,-11.2844,-87.0382,-37.6504,5.30604504,-98.32260000000001,-32.34435496,-130.66695496000003
19,-11.2376,-89.2475,-35.5128,5.22421488,-100.4851,-30.28858512,-130.77368512
20,-9.7293,-82.6716,-37.9775,5.259748319999999,-92.4009,-32.71775168,-125.11865168
21,-7.6393,-84.4811,-36.5661,5.19985296,-92.1204,-31.366247039999998,-123.48664704
22,-7.7197,-83.2964,-38.6999,5.3800142399999995,-91.01610000000001,-33.31988576,-124.33598576000001
23,-12.4051,-81.6056,-38.1743,5.2554225599999995,-94.0107,-32.91887744,-126.92957744
24,-13.7005,-85.031,-37.5985,5.398318799999999,-98.73150000000001,-32.2001812,-130.9316812
25,-10.3512,-88.8991,-37.616,5.43930696,-99.25030000000001,-32.17669304,-131.42699304
26,-9.052,-94.251,-35.5907,5.4559908,-103.303,-30.134709199999996,-133.4377092
27,-8.6095,-89.0025,-37.0568,5.54419008,-97.612,-31.512609920000003,-129.12460992
28,-9.6276,-90.4736,-36.2702,5.6139854399999995,-100.1012,-30.656214560000002,-130.75741456
29,-8.2002,-95.0558,-34.1831,5.4045216,-103.256,-28.778578400000004,-132.0345784
30,-11.3478,-89.0725,-35.8509,5.52697272,-100.4203,-30.323927280000003,-130.74422728
31,-9.6497,-87.7826,-37.001,5.631887519999999,-97.4323,-31.36911248,-128.80141248
32,-11.2812,-89.0795,-36.2453,5.35980744,-100.3607,-30.88549256,-131.24619256
33,-10.1753,-87.9035,-38.3315,5.59821744,-98.0788,-32.73328256,-130.81208256
34,-9.6983,-88.842,-38.4069,5.50849176,-98.5403,-32.89840824,-131.43870824
35,-10.0221,-95.6716,-34.2973,5.50411272,-105.69369999999999,-28.793187279999998,-134.48688728
36,-10.9991,-89.6825,-35.7859,5.5833192,-100.6816,-30.2025808,-130.8841808
37,-10.7217,-90.7799,-36.57,5.49780264,-101.5016,-31.07219736,-132.57379736
38,-6.8827,-87.1441,-37.4223,5.55146712,-94.0268,-31.870832880000002,-125.89763287999999
39,-7.8693,-90.221,-38.6487,5.56116912,-98.0903,-33.087530879999996,-131.17783088000002
40,-7.555,-91.8446,-36.5898,5.50528488,-99.39959999999999,-31.08451512,-130.48411511999998
41,-11.5857,-90.1088,-38.2591,5.57043192,-101.6945,-32.68866808,-134.38316808
42,-9.5625,-90.6055,-36.1549,5.58176544,-100.168,-30.57313456,-130.74113456
43,-9.7812,-85.8465,-39.2554,5.56898112,-95.6277,-33.686418880000005,-129.31411888000002
44,-8.8319,-85.0366,-37.5686,5.34624408,-93.86850000000001,-32.222355920000005,-126.09085592000001
45,-7.5209,-91.1194,-34.9073,5.450189760000001,-98.6403,-29.45711024,-128.09741024
46,-11.7208,-89.2824,-35.3367,5.517225359999999,-101.00319999999999,-29.819474640000003,-130.82267464
47,-8.6635,-88.8967,-34.4294,5.32241424,-97.5602,-29.10698576,-126.66718576
48,-11.2479,-90.6064,-35.4872,5.48424864,-101.8543,-30.00295136,-131.85725136
49,-10.7255,-88.0364,-36.6553,5.58029016,-98.7619,-31.075009839999996,-129.83690983999998
50,-8.9982,-88.6526,-39.4584,5.42433168,-97.6508,-34.034068319999996,-131.68486832
51,-7.1288,-87.4819,-38.2758,5.41828944,-94.6107,-32.857510559999994,-127.46821055999999
52,-10.7314,-86.487,-36.6801,5.45430816,-97.2184,-31.225791840000003,-128.44419184
53,-9.8438,-84.4162,-39.5886,5.49708552,-94.26,-34.09151448,-128.35151448
54,-8.1792,-83.5388,-38.0948,5.5047888,-91.71799999999999,-32.5900112,-124.30801119999998
55,-7.7239,-86.5006,-38.1822,5.394492,-94.2245,-32.787708,-127.012208
56,-7.7263,-89.5978,-36.2158,5.346764639999999,-97.3241,-30.86903536,-128.19313535999999
57,-8.4642,-85.2021,-37.3367,5.42523672,-93.6663,-31.91146328,-125.57776328000001
58,-11.122,-86.0501,-38.1043,5.5057939199999995,-97.1721,-32.59850608,-129.77060608
59,-8.5154,-85.1656,-36.6949,5.33323368,-93.681,-31.361666319999998,-125.04266632
60,-9.9115,-90.8848,-35.2632,5.22790776,-100.7963,-30.035292239999997,-130.83159224000002
61,-12.0639,-93.7381,-36.1414,5.22300888,-105.802,-30.918391119999995,-136.72039112
62,-10.1888,-91.641,-34.1916,5.3559331199999995,-101.8298,-28.83566688,-130.66546688
63,-12.0983,-87.1392,-37.3867,5.36705856,-99.2375,-32.01964144,-131.25714144
